Stock,ID
Alacrity Securities Limited,ALSL
Alan Scott Industries Ltd.,ALAN SCOTT
Alankit Limited,ALANKIT
"Albert David Ltd.,",ALBERTDAVD
Alchemist Corporation Ltd,ALCHCORP
Alembic  Ltd,ALEMBICLTD
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD
Alexander Stamps And Coin Limited,ALEXANDER
Alfa Ica (India) Ltd,ALFAICA
Alfa Transformers ltd.,ALFATRAN
Alfavision Overseas (India) Ltd.,ALFAVIO
"Alfred Herbert (India) Ltd.,",ALFREDHE
ALGOQUANT FINTECH LIMITED,AQFINTECH
Alicon Castalloy Limited,ALICON
Alkali Metals Limited,ALKALI
Alkem Laboratories Limited,ALKEM
ALKOSIGN LIMITED,ALKOSIGN
"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE
ALLCARGO GATI LIMITED,ACLGATI
Allcargo Logistics Ltd,ALLCARGO
Allcargo Terminals Limited,ATL
Alliance Integrated Metaliks Limited,AIML
Allied Digital Services Limited,ADSL
Allsec Technologies Ltd.,ALLSEC
Almondz Global Securities Limited,ALMONDZ
"Alna Trading & Exports Ltd.,",ALNATRD
Alok Industries Ltd.,ALOKINDS
Alpa Laboratories Limited,ALPA
Alphageo (India)Ltd.,ALPHAGEO
ALPHALOGIC INDUSTRIES LIMITED,ALPHAIND
Alphalogic Techsys Limited,ALPHALOGIC
Alpine Housing Development Corporat,ALPINEHOU
Alps Industries Ltd.,ALPSINDUS
Alstone Textiles (India) Limited,ALSTONE
Alufluoride  Ltd.,ALUFLUOR
Amal Ltd,AMAL
"Amalgamated Electricity Co. Ltd.,",AMALGAM
AMANAYA VENTURES LIMITED,AMANAYA
Amara Raja Energy & Mobility Limited,ARE&M
Amarjothi Spinning Mills Ltd,AMARJOTHI
Amarnath Securities Ltd.,AMARSEC
Amba Enterprises Ltd.,AEL
"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA
Ambar Protein Industries Limited,AMBARPIL
AMBASSADOR INTRA HOLDINGS LIMITED,AIHL
Amber Enterprises India Limited,AMBER
Ambica Agarbathies & Aroma Ind. Ltd.,AMBICAAGAR
Ambika Cotton Mills Ltd.,AMBIKCO
Ambitious Plastomac Ltd.,AMBIT
AMBO AGRITEC LIMITED,AMBOAGRI
Ambuja Cements Ltd.,AMBUJACEM
Amco India Ltd.,AMCOIND
AMD Industries Ltd,AMDIND
AMERISE BIOSCIENCES LIMITED,AMERISE
"Amforge Industries Ltd.,",AMFORG
Ami Organics Limited,AMIORG
Amic Forging Limited,AMIC
AMIN TANNERY LIMITED,AMINTAN
Amines & Plasticizers Ltd,AMNPLST
Amit International Ltd.,AMITINT
AMJ LAND HOLDINGS LIMITED,AMJLAND
Amrapali Capital and Finance Services Limited,ACFSL
Amrapali Fincap Limited,AMRAFIN
Amrapali Industries Ltd,AMRAPLIN
Amraworld Agrico Ltd.,AMRAAGRI
Amrutanjan Health Care Limited,AMRUTANJAN
AMS POLYMERS LIMITED,AMS
Anand Projects Ltd,ANANDPROJ
Anand Rathi Wealth Limited,ANANDRATHI
Anand Rayons Limited,ARL
Anant Raj Limited,ANANTRAJ
"Andhra Cement Ltd.,",ACL
ANDHRA PAPER LIMITED,ANDHRAPAP
"Andhra Petrochemicals Ltd.,",ANDHRAPET
Andrew Yule & Company Ltd,ANDREWYU
ANG Lifesciences India Limited,ANG
Angel Fibers Limited,ANGEL
ANGEL ONE LIMITED,ANGELONE
Anik Industries Limited,ANIKINDS
Anjani Finance Ltd,ANJANIFIN
Anjani Foods Limited,ANJANIFOODS
Anjani Portland Cement Ltd.,APCL
Anjani Synthetics Limited,ANJANI
Anka India Ltd.,ANKIN
Ankit Metal  & Power Limited,ANKITMETAL
Anmol India Limited,ANMOL
Anna Infrastructures Ltd,ANNAINFRA
ANS Limited,ANSINDUS
"Ansal Buildwell Ltd.,",ANSALBU
ANSAL HOUSING LIMITED,ANSALHSG
"Anshuni Commercials Ltd.,",ANSHNCO
ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH
Antony Waste Handling Cell Limited,AWHCL
"Anuh Pharma Ltd.,",ANUHPHR
ANUPAM FINSERV LIMITED,ANUPAM
Anupam Rasayan India Limited,ANURAS
Anuroop Packaging Limited,ANUROOP
Apar Industries Ltd,APARINDS
Apcotex Industries Limited,APCOTEXIND
APEX CAPITAL AND FINANCE LIMITED,ACFL
Apex Frozen Foods Limited,APEX
Apis India Ltd,APIS
APL Apollo Tubes Limited,APLAPOLLO
Aplab Ltd.,APLAB
"APM Industries Ltd.,",APMIN
"Apollo Finvest (India) Ltd.,",APOLLOFI
"Apollo Hospitals Enterprises Ltd.,",APOLLOHOSP
Apollo Micro Systems Limited,APOLLO
APOLLO PIPES LIMITED,APOLLOPIPE
Apollo Tyres Ltd,APOLLOTYRE
Apoorva Leasing Finance & Investment Company Limited,APOORVA
Apt Packaging Ltd,APTPACK
Aptech Ltd.,APTECHT
Aptus Value Housing Finance India Limited,APTUS
"Aravali Securities & Finance Ltd.,",ARAVALIS
ARC Finance Limited,ARCFIN
Arcee Indusrtries ltd.,ARCEEIN
Archana Software Ltd.,SSLFINANCE
Archean Chemical Industries Limited,ACI
Archidply Decor Limited,ADL
Archidply Industries Limited,ARCHIDPLY
Archies Ltd.,ARCHIES
Archit Organosys Limited,ARCHITORG
ARCL Organics Ltd,ARCL
Arex Industries Ltd.,AREXMIS
Arfin India Limited,ARFIN
"Aries Agro Limited,",ARIES
Arihant Capital Markets Ltd.,ARIHANTCAP
Arihant Foundations & Housing Ltd.,ARIHANT
Arihant Superstructures Limited,ARIHANTSUP
Arihants Securities ltd.,ARISE
Arman Financial Services Limited,ARMANFIN
Arman Holdings Limited,ARMAN
Arnold Holdings Ltd,ARNOLD
Aro Granite Industries Ltd.,AROGRANITE
Arrow Greentech Limited,ARROWGREEN
Arrowhead Seperation Engineering Limited,ARROWHEAD
Arshiya Limited,ARSHIYA
Artefact Projects Ltd,ARTEFACT
Artemis Electricals and Projects Limited,AEPL
Artemis Medicare Services Limited,ARTEMISMED
Aruna Hotels Ltd.,ARUNAHTEL
ARUNIS ABODE LIMITED,ARUNIS
Arunjyoti Bio Ventures Limited ,ABVL
Arvind Fashions Limited,ARVINDFASN
"Arvind Ltd.,",ARVIND
Arvind SmartSpaces Limited,ARVSMART
Aryaman Capital Markets Limited,ARYACAPM
Aryaman Financial Services Ltd.,ARYAMAN
Aryan Share & Stock Brokers Ltd.,ARYAN
Asahi India Glass Ltd.,ASAHIINDIA
Asahi Songwon Colors Ltd.,ASAHISONG
ASARFI HOSPITAL LIMITED,ASARFI
Ashapura Minechem Ltd,ASHAPURMIN
Ashapuri Gold Ornament Limited,AGOL
Ashiana Agro Industries Ltd,ASHAI
Ashiana Housing Limited,ASHIANA
Ashiana Ispat Limited,ASHIS
Ashika Credit Capital Ltd.,ASHIKA
Ashima Ltd,ASHIMASYN
"Ashirwad Capital Ltd.,",ASHCAP
Ashirwad Steels & Industries  Ltd.,ASHSI
Ashish Polyplast Ltd.,ASHISHPO
Ashnisha Industries Limited,ASHNI
Ashnoor Textiles Mills Ltd.,ASHNOOR
Ashok Alco-Chem Ltd.,ASHOKALC
"Ashok Leyland Ltd.,",ASHOKLEY
Ashoka Buildcon Limited,ASHOKA
Ashoka Metcast Limited,ASHOKAMET
Ashoka Refineries Ltd.,ASHOKRE
Ashram Online.com Ltd,ASHRAM
ASI INDUSTRIES LIMITED,ASIIL
ASIA CAPITAL LIMITED,ASIACAP
Asia Pack Ltd.,ASIAPAK
ASIAN ENERGY SERVICES LTD,ASIANENE
ASIAN GRANITO INDIA LIMITED,ASIANTILES
Asian Hotels (East) Limited,AHLEAST
Asian Hotels (North) Limited,ASIANHOTNR
Asian Paints Ltd.,ASIANPAINT
Asian Petroproducts & Exports Ltd.,ASINPET
Asian Star Co. Ltd.,ASTAR
Asian Tea & Exports Ltd.,ASIANTNE
Asian Warehousing Limited,ASIAN
Asit C Mehta Financial Services Limited,ASITCFIN
ASK Automotive Limited,ASKAUTOLTD
ASM Technologies Ltd.,ASMTEC
Aspira Pathlab & Diagnostics Limited,ASPIRA
Assam Entrade Limited,ASSAMENT
Associated Alcohols & Breweries Ltd,ASALCBR
Associated Ceramics Ltd.,ASSOCER
ASTEC LIFESCIENCES LIMITED,ASTEC
Aster DM Healthcare Limited,ASTERDM
Astra Microwave Products Ltd.,ASTRAMICRO
ASTRAL LIMITED,ASTRAL
AstraZeneca Pharma India Ltd.,ASTRAZEN
Astron Paper & Board Mill Limited,ASTRON
Asutosh Enterprise Ltd.,ASUTENT
Atal Realtech Limited,ATALREAL
Atam Valves Limited,ATAM
Atharv Enterprises Limited,ATHARVENT
Athena Constructions Limited,ATHCON
Athena Global Technologies Limited,ATHENAGLO
Atishay Limited,ATISHAY
ATLANTAA LIMITED,ATLANTAA
Atul Auto Limited,ATULAUTO
"Atul Limited.,",ATUL
ATV Projects India Ltd,ATVPR
AU Small Finance Bank Limited,AUBANK
Aurionpro Solutions Ltd.,AURIONPRO
Auro Laboratories Ltd.,AUROLAB
Aurobindo Pharma Ltd.,AUROPHARMA
Aurum PropTech Limited,AURUM
AuSom Enterprise Limited,AUSOMENT
"Austin Engineering Co. Ltd.,",AUSTENG
Authum Investment & Infrastructure Limited,AIIL
Auto Pins (India) Ltd.,AUTOPINS
AUTOLINE INDUSTRIES LTD.,AUTOIND
"Automobile Corpn. of Goa Ltd.,",ACGL
"Automotive Axles Ltd.,",AUTOAXLES
Automotive Stampings and Assemblies Ltd.,ASAL
Autoriders International Ltd,AUTOINT
AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR
Available Finance Ltd.,AVAILFC
Avalon Technologies Limited,AVALON
Avance Technologies Ltd.,AVANCE
Avantel Limited,AVANTEL
Avanti Feeds ltd.,AVANTIFEED
Aveer Foods Limited,AVEER
Avenue Supermarts Limited,DMART
AVG Logistics Limited,AVG
Avi Polymers Ltd.,AVI
AVI PRODUCTS INDIA LIMITED,APIL
Avonmore Capital & Management Services Limited,AVONMORE
Avro India Limited,AVROIND
AVT Natural Products Ltd.,AVTNPL
Axel Polymers Ltd.,AXELPOLY
AXIS Bank Ltd.,AXISBANK
Axis Mutual Fund,AXISTECETF
Axis Mutual Fund,AXISHETF
Axis Mutual Fund,AXISCETF
Axis Mutual Fund,AXISPEGP
AXISCADES TECHNOLOGIES LIMITED,AXISCADES
Axita Cotton Limited,AXITA
Axtel Industries Ltd.,AXTEL
AYM Syntex Limited,AYMSYNTEX
"Ayoki Mercantile Ltd.,",AYOME
Azad Engineering Limited,AZAD
B & A Ltd.,BNALTD
B L Kashyap and Sons Ltd,BLKASHYAP
B-RIGHT REALESTATE LIMITED,BRRL
B.A.G. Films & Media Ltd,BAGFILMS
B.C. Power Controls Limited,BCP
B.N.Rathi Securities Ltd.,BNRSEC
B&A Packaging India Limited,BAPACK
B&B Triplewall Containers Limited,BBTCL
B2B Software Technologies Ltd.,B2BSOFT
Baba Arts Ltd,BABA
Bacil Pharma Ltd.,BACPHAR
Bafna Pharmaceuticals Limited,BAFNAPH
BAID FINSERV LIMITED,BAIDFIN
Bajaj Auto Limited,BAJAJ-AUTO
BAJAJ CONSUMER CARE LIMITED,BAJAJCON
"Bajaj Electricals Ltd.,",BAJAJELEC
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Global Ltd,BAJGLOB
Bajaj Healthcare Limited,BAJAJHCARE
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG
"Bajaj Steel Industries Ltd.,",BAJAJST
Bajel Projects Limited,BAJEL
Bal Pharma Ltd.,BALPHARMA
Balaji Amines Ltd.,BALAMINES
Balaji Telefilms Ltd.,BALAJITELE
Balgopal Commercial limited,BALGOPAL
"Balkrishna Industries Ltd.,",BALKRISIND
Balkrishna Paper Mills Ltd,BALKRISHNA
"Balmer Lawrie & Co. Ltd.,",BALMLAWRIE
Balmer Lawrie Investments Ltd.,BLIL
Balrampur Chini Mills Ltd.,BALRAMCHIN
BALU FORGE INDUSTRIES LIMITED,BALUFORGE
Balurghat Technologies Ltd.,BALTE
Bambino Agro Industries Ltd,BAMBINO
Bampsl Securities Ltd.,BAMPSL
Banaras Beads Ltd.,BANARBEADS
Banas Finance Limited,BANASFN
"Banco Products (India) Ltd.,",BANCOINDIA
Bandhan Bank Limited,BANDHANBNK
Bandhan Mutual Fund,IDFSENSEXE
Bang Overseas Ltd,BANG
Bangalore Fort Farms Limited,BFFL
Bank Of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of maharashtra,MAHABANK
Bannari Amman Spinning Mills Ltd,BASML
"Bannari Amman Sugars Ltd.,",BANARISUG
Bansal Roofing Products Limited,BRPL
Bansisons Tea Industries Ltd.,BANSTEA
"Banswara Syntex Ltd.,",BANSWRAS
BARAK VALLEY CEMENTS LIMITED,BVCL
BARBEQUE-NATION HOSPITALITY LIMITED,BARBEQUE
Baroda Extrusion Ltd.,BAROEXT
"Baroda Rayon Corpn. Ltd.,",BARODARY
Bartronics India Ltd.,ASMS
"Basant Agro-Tech (India) Ltd.,",BASANTGL
BASF India Ltd,BASF
Bata India Limited,BATAINDIA
Batliboi Ltd,BATLIBOI
Bayer CropScience Limited.,BAYERCROP
Bazel International Limited,BAZELINTER
"BCC Fuba India Ltd.,",BCCFUBA
BCL Enterprises Limited,BCLENTERPR
BCL INDUSTRIES LIMITED,BCLIND
BCPL Railway Infrastructure Limited,BCPL
BDH Industries Ltd.,BDH
BEARDSELL LIMITED,BEARDSELL
Bedmutha Industries Limited,BEDMUTHA
Beekay Niryat Limited,BNL
Beekay Steel Industries Ltd.,BEEKAY
Beeyu Overseas Ltd.,BEEYU
Bella Casa Fashion & Retail Limited,BELLACASA
"Bemco Hydraulics Ltd.,",BEMHY
BEML Land Assets Limited,BLAL
BEML Ltd,BEML
Benara Bearings and Pistons Limited,BENARA
Benares Hotels Ltd,BENARAS
Benchmark Computer Solutions Limited,BENCHMARK
Bengal & Assam Company Limited,BENGALASM
"Bengal Steel Industries Ltd.,",BENGALS
Bengal Tea & fabrics Ltd.,BENGALT
Bentley Commercial Enterprises Ltd.,BENTCOM
Berger Paints India Ltd,BERGEPAINT
Bervin Investments And Leasing Ltd.,BERVINL
Beryl Drugs Ltd.,BERLDRG
Beryl Securities Ltd,BERYLSE
BEST AGROLIFE LIMITED,BESTAGRO
Best Eastern Hotels Limited,BESTEAST
"Betex India Ltd.,",BETXIND
BF Investment Limited,BFINVEST
BF Utilities Ltd.,BFUTILITIE
BFL Asset Finvest Limited,BFLAFL
BGIL Films & Technologies Ltd,BGIL
BGR ENERGY SYSTEMS LIMITED,BGRENERGY
Bhageria Industries Limited,BHAGERIA
Bhagiradha Chemicals and Industries,BHAGCHEM
Bhagwati Autocast Limited,BGWTATO
"Bhagwati Oxygen Ltd.,",BHAGWOX
Bhagyanagar India Limited,BHAGYANGR
Bhakti Gems And Jewellery Limited,BGJL
Bhandari Hosiery Exports Ltd.,BHANDARI
Bhanderi Infracon Limited,BHANDERI
"Bhansali Engineering Polymers Ltd.,",BEPL
Bharat Agri Fert and Realty Ltd,BHARATAGRI
Bharat Bhushan Share & Commodity Brokers Ltd.,BHARAT
"Bharat Bijlee Ltd.,",BBL
Bharat Dynamics Limited,BDL
"Bharat Electronics Ltd.,",BEL
Bharat Forge Ltd,BHARATFORG
"Bharat Gears Ltd.,",BHARATGEAR
"Bharat Heavy Electricals Ltd.,",BHEL
Bharat Immunologicals & Biologicals,BIBCL
Bharat Parenterals Limited,BPLPHARMA
"Bharat Petroleum Corpn. Ltd.,",BPCL
Bharat Rasayan Limited,BHARATRAS
Bharat Road Network Limited,BRNL
Bharat Seats Ltd,BHARATSE
Bharat Wire Ropes Limited,BHARATWIRE
Bharti Airtel  Ltd.,BHARTIARTL
Bhartiya International Ltd.,BIL
Bhaskar Agrochemicals Ltd.,BHASKAGR
Bhatia Colour Chem Limited,BCCL
Bhatia Communications & Retail (India) Limited,BHATIA
Bheema Cements Limited,BHEEMACEM
Bhilwara Spinners Ltd,BHILSPIN
Bhilwara Technical Textiles Limited,BTTL
BHUDEVI INFRA PROJECTS LIMITED,BHUDEVI
Bigbloc Construction Limited,BIGBLOC
Bihar Sponge Iron Ltd,BIHSPONG
Bijoy Hans Ltd,BIJHANS
Bikaji Foods International Limited,BIKAJI
Bilcare Ltd.,BI
Billwin Industries Limited,BILLWIN
Bimetal Bearings Ltd,BIMETAL
Binani Industries Limited,BINANIIND
"Binayak Tex Processors  Ltd.,",ZBINTXPP
Bindal Exports Limited,BINDALEXPO
Biocon Ltd.,BIOCON
Biofil Chemicals & Pharmaceuticals,BIOFILCHEM
BIOGEN PHARMACHEM INDUSTRIES LIMITED,BIOGEN
Birla Cable Limited,BIRLACABLE
Birla Corporation Ltd.,BIRLACORPN
Birla Precision Technologies Ltd,BIRLAPREC
BIRLASOFT LIMITED,BSOFT
Bisil Plast Limited,BISIL
BITS Ltd,BITS
Bizotic Commercial Limited,BIZOTIC
BKM INDUSTRIES LIMITED,BKMINDST
BKV Industries Ltd.,BKV
BLACK BOX LIMITED,BBOX
Black Rose Industries Ltd,BLACKROSE
BLB Limited,BLBLIMITED
Bliss GVS Pharma Limited,BLISSGVS
Bloom Dekor Ltd.,BLOOM
Bloom Industries Ltd,BLOIN
BLS Infotech Limited,BLSINFOTE
BLS International Services Ltd,BLS
Blue Chip India Ltd,BLUECHIP
"Blue Chip Tex Industries Ltd.,",BLUECHIPT
Blue Cloud Softech Solutions Limited,BLUECLOUDS
Blue Coast Hotels Ltd,BLUECOAST
Blue Dart Express Ltd.,BLUEDART
Blue Jet Healthcare Limited,BLUEJET
Blue Star Ltd,BLUESTARCO
BMW INDUSTRIES LIMITED,BMW
BN HOLDINGS LIMITED,BNHOLDINGS
BNR Udyog Ltd.,BNRUDY
Bodal Chemicals Ltd,BODALCHEM
BODHI TREE MULTIMEDIA LIMITED,BTML
"Bombay Burmah Trading Corpn. Ltd.,",BBTC
"Bombay Cycle & Motor Agency Ltd.,",BOMBCYC
"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING
BOMBAY OXYGEN INVESTMENTS LIMITED,BOMOXY-B1
BOMBAY TALKIES LIMITED,BOMTALKIES
"Bombay Wire Ropes Ltd.,",BOMBWIR
Bondada Engineering Limited,BONDADA
BONLON INDUSTRIES LIMITED,BONLON
Borosil Limited,BOROLTD
BOROSIL RENEWABLES LIMITED,BORORENEW
Bosch Ltd,BOSCHLTD
Bothra Metals & Alloys Limited,BMAL
"BPL Ltd.,",BPL
Brady & Morris Engineering Co. Ltd.,BRADYM
BRAHMAPUTRA INFRASTRUCTURE LIMITED,BRAHMINFRA
Brand Concepts Limited,BCONCEPTS
Brandbucket Media & Technology Limited,BRANDBUCKT
Bridge Securities Ltd.,BRIDGESE
Brigade Enterprises Limited,BRIGADE
"Bright Brothers Ltd.,",BRIGHTBR
Bright Outdoor Media Limited,BRIGHT
BRIGHTCOM GROUP LIMITED,BCG
Brijlaxmi Leasing & Finance ltd.,BRIJLEAS
Brilliant Portfolios Ltd.,BRIPORT
"Britannia Industries Ltd.,",BRITANNIA
BROOKS LABORATORIES LIMITED,BROOKS
BSEL ALGO LIMITED,BSELALGO
"BSL Ltd.,",BSL
Burnpur Cement Limited,BURNPUR
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
C.E. Info Systems Limited,MAPMYINDIA
"C.J. Gelatine Products Ltd.,",CJGEL
"Calcom Vision Ltd.,",CALCOM
California Software Co. Ltd.,CALSOFT
Cambridge Technology Enterprises Ltd.,CTE
Camex  Ltd.,CAMEXLTD
Camlin Fine Sciences Ltd,CAMLINFINE
Campus Activewear Limited,CAMPUS
"Can Fin Homes Ltd.,",CANFINHOME
Canara Bank,CANBK
CANDOUR TECHTEX LIMITED,CANDOUR
Canopy Finance Limited,CANOPYFIN
CANTABIL RETAIL INDIA LIMITED,CANTABIL
Capacit'e Infraprojects Limited,CAPACITE
Capfin India Limited,CAPFIN
CAPITAL INDIA FINANCE LIMITED,CIFL
Capital Trade Links Limited,CTL
Capital Trust Ltd.,CAPTRUST
Caplin Point Laboratories Ltd.,CAPLIPOINT
Capri Global Capital Limited,CGCL
"Caprihans India Ltd.,",CAPRIHANS
Caprolactam Chemicals ltd.,CAPRO
Captain Pipes Limited,CAPPIPES
CAPTAIN POLYPLAST LIMITED,CPL
Captain Technocast Limited,CTCL
"Carborundum Universal Ltd.,",CARBORUNIV
CARE Ratings Limited,CARERATING
Career Point Limited,CAREERP
Cargosol Logistics Limited,CARGOSOL
Cargotrans Maritime Limited,CARGOTRANS
Carnation Industries Ltd.,CARNATIN
CarTrade Tech Limited,CARTRADE
CARYSIL LIMITED,CARYSIL
CASPIAN CORPORATE SERVICES LIMITED,CASPIAN
Castrol India Ltd,CASTROLIND
Catvision Limited,CATVISION
CCL International Ltd,CCLINTER
CCL Products (India) Ltd.,CCL
CDG PETCHEM LIMITED,CDG
"Ceat Ltd.,",CEATLTD
Ceejay Finance Limited,CEEJAY
Ceenik Exports (india) Ltd.,CEENIK
Ceeta Industries Ltd.,CEETAIN
CEINSYS TECH LIMITED,CEINSYSTECH
Celebrity Fashions Ltd.,CELEBRITY
CELLA SPACE LIMITED,CELLA
Cello World Limited,CELLO
Cenlub Industries Ltd.,CENLUB
